	level_0	index	task	central_motif	side_motif	profile/counts_frac	profile/counts_max_ref_frac	log2_fc_sum_cooperativity	log2_fc_max_cooperativity
0	7	223	yap1	tead4	tead4_double	1.4033376470588235	1.6257716949264598	0.4888621672836796	0.7011246757873848
1	8	224	yap1	tead4	tfap2c	1.3423435328911062	1.6032157540938	0.4247539336649548	0.6809685904429943
2	6	222	yap1	tead4	tead4	1.2206810184327888	1.388399257355536	0.28768625253869334	0.4734224985925272
3	5	221	yap1	tead4	junfos	1.2161082326912804	1.430777383818527	0.28227163323733356	0.5167992190631022
4	1	217	yap1	tead4	ctcf	1.1254516458504555	1.2775438115140845	0.1705040738597444	0.3533727671474765
5	2	218	yap1	tead4	elf5	1.114844061716771	1.19792448020328	0.15684192797423593	0.2605369603216629
6	0	216	yap1	tead4	cdx2	1.0502737717496904	1.056843442584754	0.07076543995180022	0.07976167630886946
7	3	219	yap1	tead4	gata3	1.0134067232998227	1.0321023627454868	0.01921330535570264	0.04558606272024054
8	4	220	yap1	tead4	gata3_double	0.9056942162043382	0.8615674318504163	-0.1429040503873876	-0.21496437935522142
